,layer_name,sample_id,num_of_injection,misclassifications,experiment
28,classes_conv2d_2,8,300,292,FaultInjection
29,classes_conv2d_2,9,300,265,FaultInjection
,layer_name,sample_id,num_of_injection,misclassifications,experiment
0,classes_conv2d,0,300,0,Ranger_Clipping_Value
1,classes_conv2d,1,300,0,Ranger_Clipping_Value
2,classes_conv2d,2,300,0,Ranger_Clipping_Value
3,classes_conv2d,3,300,0,Ranger_Clipping_Value
4,classes_conv2d,4,300,0,Ranger_Clipping_Value
5,classes_conv2d,5,300,0,Ranger_Clipping_Value
6,classes_conv2d,6,300,0,Ranger_Clipping_Value
7,classes_conv2d,7,300,0,Ranger_Clipping_Value
8,classes_conv2d,8,300,0,Ranger_Clipping_Value
9,classes_conv2d,9,300,0,Ranger_Clipping_Value
10,classes_conv2d_1,0,300,0,Ranger_Clipping_Value
11,classes_conv2d_1,1,300,0,Ranger_Clipping_Value
12,classes_conv2d_1,2,300,1,Ranger_Clipping_Value
13,classes_conv2d_1,3,300,1,Ranger_Clipping_Value
14,classes_conv2d_1,4,300,0,Ranger_Clipping_Value
15,classes_conv2d_1,5,300,0,Ranger_Clipping_Value
16,classes_conv2d_1,6,300,0,Ranger_Clipping_Value
17,classes_conv2d_1,7,300,0,Ranger_Clipping_Value
18,classes_conv2d_1,8,300,0,Ranger_Clipping_Value
19,classes_conv2d_1,9,300,0,Ranger_Clipping_Value
20,classes_conv2d_2,0,300,0,Ranger_Clipping_Value
21,classes_conv2d_2,1,300,0,Ranger_Clipping_Value
22,classes_conv2d_2,2,300,0,Ranger_Clipping_Value
23,classes_conv2d_2,3,300,0,Ranger_Clipping_Value
24,classes_conv2d_2,4,300,0,Ranger_Clipping_Value
25,classes_conv2d_2,5,300,0,Ranger_Clipping_Value
26,classes_conv2d_2,6,300,0,Ranger_Clipping_Value
27,classes_conv2d_2,7,300,0,Ranger_Clipping_Value
28,classes_conv2d_2,8,300,0,Ranger_Clipping_Value
29,classes_conv2d_2,9,300,0,Ranger_Clipping_Value
